timestamp,bandwidth_gbps,phase
28.9,18.01,1
29.0,16.68,1
29.1,16.98,1
29.2,16.13,1
29.3,16.17,1
29.4,18.65,1
29.5,17.17,1
29.6,16.25,1
29.7,17.61,1
29.8,16.5,1
29.9,17.08,1
